"EML PAYMENTS LIMITED","EML",
"ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","EOS",
"BETASHARES CLIMATE CHANGE INNOVATION ETF","ERTH",
"VANECK VIDEO GAMING AND ESPORTS ETF","ESPO",
"BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF","ETHI",
"EVOLUTION MINING LIMITED","EVN",
"EVENT HOSPITALITY AND ENTERTAINMENT LTD","EVT",
"BETASHARES FTSE 100 ETF","F100",
"BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF","FAIR",
"ETFS FANG+ ETF","FANG",
"FLETCHER BUILDING LIMITED","FBU",
"FINEOS CORPORATION HOLDINGS PLC","FCL",
"FRONTIER DIGITAL VENTURES LIMITED","FDV",
"FLIGHT CENTRE TRAVEL GROUP LIMITED","FLT",
"FORTESCUE METALS GROUP LTD","FMG",
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","FPH",
"BETASHARES GLOBAL ENERGY COMPANIES ETF - CURRENCY HEDGED","FUEL",
"GDI PROPERTY GROUP","GDI",
"VANECK GOLD MINERS ETF","GDX",
"BETASHARES GEARED AUSTRALIAN EQUITY FUND (HEDGE FUND)","GEAR",
"G8 EDUCATION LIMITED","GEM",
"GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED","GMA",
"GOODMAN GROUP","GMG",
"GRAINCORP LIMITED","GNC",
"ETFS METAL SECURITIES AUSTRALIA LIMITED.","GOLD",
"GOLD ROAD RESOURCES LIMITED","GOR",
"GROWTHPOINT PROPERTIES AUSTRALIA","GOZ",
"GPT GROUP","GPT",
"G.U.D. HOLDINGS LIMITED","GUD",
"GWA GROUP LIMITED.","GWA",
"BETASHARES GLOBAL CYBERSECURITY ETF","HACK",
"BETASHARES ACTIVE AUSTRALIAN HYBRIDS FUND (MANAGED FUND)","HBRD",
"HOMECO DAILY NEEDS REIT","HDN",
"ETFS HYDROGEN ETF","HGEN",
"HEALIUS LIMITED","HLS",
"HEARTS AND MINDS INVESTMENTS LIMITED","HM1",
"HOME CONSORTIUM LIMITED","HMC",
"HOTEL PROPERTY INVESTMENTS","HPI",
"HANSEN TECHNOLOGIES LIMITED","HSN",
"HT&E LIMITED","HT1",
"HUB24 LIMITED","HUB",
"HARVEY NORMAN HOLDINGS LIMITED","HVN",
"ISHARES CORE COMPOSITE BOND ETF","IAF",
"INSURANCE AUSTRALIA GROUP LIMITED","IAG",
"INTEGRAL DIAGNOSTICS LIMITED","IDX",
"IDP EDUCATION LIMITED","IEL",
"ISHARES MSCI EMERGING MARKETS ETF","IEM",
"ISHARES EUROPE ETF","IEU",
"INSIGNIA FINANCIAL LTD","IFL",
"INFOMEDIA LTD","IFM",
"VANECK FTSE GLOBAL INFRASTRUCTURE (HEDGED) ETF","IFRA",
"IGO LIMITED","IGO",
"ILUKA RESOURCES LIMITED","ILU",
"IMDEX LIMITED","IMD",
"EINVEST BETTER FUTURE FUND (MANAGED FUND)","IMPQ",
"INGENIA COMMUNITIES GROUP","INA",
"INGHAMS GROUP LIMITED","ING",
"IPH LIMITED","IPH",
"INCITEC PIVOT LIMITED","IPL",
"IRESS LIMITED","IRE",
"INVOCARE LIMITED","IVC",
"ISHARES S&P 500 ETF","IVV",
"ISHARES GLOBAL HEALTHCARE ETF","IXJ",
"JB HI-FI LIMITED","JBH",
"JANUS HENDERSON GROUP PLC","JHG",
"JAMES HARDIE INDUSTRIES PLC","JHX",
"JUMBO INTERACTIVE LIMITED","JIN",
"JOHNS LYNG GROUP LIMITED","JLG",
"KAROON ENERGY LTD","KAR",
"KOGAN.COM LTD","KGN",
"KELSIAN GROUP LIMITED","KLS",
"KMD BRANDS LIMITED","KMD",
"LIBERTY FINANCIAL GROUP","LFG",
"LIFESTYLE COMMUNITIES LIMITED","LIC",
"LENDLEASE GROUP","LLC",
"LOVISA HOLDINGS LIMITED","LOV",
"L1 LONG SHORT FUND LIMITED","LSF",
"LIONTOWN RESOURCES LIMITED","LTR",
"LYNAS RARE EARTHS LIMITED","LYC",
"MA FINANCIAL GROUP LIMITED","MAF",
"MACQUARIE TELECOM GROUP LIMITED","MAQ",
"MINCOR RESOURCES NL","MCR",
"MERIDIAN ENERGY LIMITED","MEZ",
"MAGELLAN FINANCIAL GROUP LIMITED","MFG",
"MAAS GROUP HOLDINGS LIMITED","MGH",
"MIRVAC GROUP","MGR",
"MINERAL RESOURCES LIMITED","MIN",
"MONTAKA GLOBAL EXTENSION FUND (QUOTED MANAGED HEDGE FUND)","MKAX",
"MCMILLAN SHAKESPEARE LIMITED","MMS",
"MONADELPHOUS GROUP LIMITED","MND",
"MONEY3 CORPORATION LIMITED","MNY",
"MEGAPORT LIMITED","MP1",
"MEDIBANK PRIVATE LIMITED","MPL",
"MACQUARIE GROUP LIMITED","MQG",
"MESOBLAST LIMITED","MSB",
"METCASH LIMITED","MTS",
"VANECK AUSTRALIAN EQUAL WEIGHT ETF","MVW",
"MYSTATE LIMITED","MYS",
"NATIONAL AUSTRALIA BANK LIMITED","NAB",
"NANOSONICS LIMITED","NAN",
"NICK SCALI LIMITED","NCK",
"NEWCREST MINING LIMITED","NCM",
"BETASHARES NASDAQ 100 ETF","NDQ",
"NEARMAP LTD","NEA",
"NINE ENTERTAINMENT CO. HOLDINGS LIMITED","NEC",
"NEW HOPE CORPORATION LIMITED","NHC",
"NIB HOLDINGS LIMITED","NHF",
"NICKEL MINES LIMITED","NIC",
"NATIONAL STORAGE REIT","NSR",
"NORTHERN STAR RESOURCES LTD","NST",
"NUFARM LIMITED","NUF",
"NOVONIX LIMITED","NVX",
"NRW HOLDINGS LIMITED","NWH",
"NETWEALTH GROUP LIMITED","NWL",
"NEWS CORPORATION..","NWS",
"NUIX LIMITED","NXL",
"NEXTDC LIMITED","NXT",
"OMNI BRIDGEWAY LIMITED","OBL",
"OBJECTIVE CORPORATION LIMITED","OCL",
"OFX GROUP LIMITED","OFX",
"OOH!MEDIA LIMITED","OML",
"BETASHARES CRUDE OIL INDEX ETF-CURRENCY HEDGED (SYNTHETIC)","OOO",
"OPTHEA LIMITED","OPT",
"ORORA LIMITED","ORA",
"ORIGIN ENERGY LIMITED","ORG",
"ORICA LIMITED","ORI",
"SPDR S&P/ASX 200 FINANCIALS EX A-REIT FUND","OZF",
"OZ MINERALS LIMITED","OZL",
"PARADIGM BIOPHARMACEUTICALS LIMITED..","PAR",
"POINTSBET HOLDINGS LIMITED","PBH",
"PENDAL GROUP LIMITED","PDL",
"PACT GROUP HOLDINGS LTD","PGH",
"PLATINUM INTERNATIONAL FUND (QUOTED MANAGED HEDGE FUND)","PIXX",
"PILBARA MINERALS LIMITED","PLS",
"PRO MEDICUS LIMITED","PME",
"PREMIER INVESTMENTS LIMITED","PMV",
"PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","PNI",
"POLYNOVO LIMITED","PNV",
"PUSHPAY HOLDINGS LIMITED","PPH",
"PPK GROUP LIMITED","PPK",
"PRAEMIUM LIMITED","PPS",
"PERPETUAL LIMITED","PPT",
"PERSEUS MINING LIMITED","PRU",
"PSC INSURANCE GROUP LIMITED","PSI",
"PLATINUM ASSET MANAGEMENT LIMITED","PTM",
"PWR HOLDINGS LIMITED","PWH",
"QANTAS AIRWAYS LIMITED","QAN",
"QBE INSURANCE GROUP LIMITED","QBE",
"BETASHARES AUSTRALIAN RESOURCES SECTOR ETF","QRE",
"VANECK MSCI INTL SMALL COMPANIES QUALITY ETF","QSML",
"VANECK MSCI INTERNATIONAL QUALITY ETF","QUAL",
"QUBE HOLDINGS LIMITED","QUB",
"REDBUBBLE LIMITED","RBL",
"RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF","RDV",
"REA GROUP LTD","REA",
"REGIS HEALTHCARE LIMITED","REG",
"REECE LIMITED","REH",
"RURAL FUNDS GROUP","RFF",
"RAMSAY HEALTH CARE LIMITED","RHC",
"RIO TINTO LIMITED","RIO",
"RESIMAC GROUP LTD","RMC",
"RESMED INC","RMD",
"RAMELIUS RESOURCES LIMITED","RMS",
"ETFS ROBO GLOBAL ROBOTICS AND AUTOMATION ETF","ROBO",
"REGIS RESOURCES LIMITED","RRL",
